 Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName
-------  ------    -----      -----     ------     --  -- -----------
   1245      78    45678      89123    456.78   1234   1 chrome
    987      45    34567      67890    345.67   5678   1 explorer
    654      32    23456      56789    234.56   9101   1 powershell
    789      43    32345      65678    189.45   1123   1 code
    543      21    19876      43210    156.78   3141   1 slack
    876      54    28765      54321    134.56   5161   1 teams
    432      19    16543      32109    112.34   7181   1 spotify
    765      38    25432      49876     98.76   9202   1 notepad
    321      16    14321      28765     87.65   1223   1 calculator
    654      29    17654      36543     76.54   3244   1 paint
